JAVA_CLASS,RELEASE,SIZE,NR,N_AUTH,LOC_ADDED,MAX_LOC_ADDED,AVG_LOC_ADDED,CHURN,MAX_CHURN,AVG_CHURN,IS_BUGGY
hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyConfiguration.java,1,36,1,1,5,5,5.0,0,0,0.0,true
hedwig-server/src/main/java/org/apache/hedwig/zookeeper/ZkUtils.java,1,79,2,1,15,13,7.5,1,1,0.5,false
hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkPublisher.java,1,133,2,1,6,5,3.0,0,0,0.0,true
hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ScanCallbackWithContext.java,1,37,0,0,0,0,0.0,0,0,0.0,false
hedwig-server/src/main/java/org/apache/hedwig/server/proxy/HedwigProxy.java,1,160,3,1,7,3,2.3333333333333335,1,1,0.3333333333333333,true
bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/AbstractZkLedgerManager.java,1,253,1,1,2,2,2.0,2,2,2.0,false
hedwig-server/src/main/java/org/apache/hedwig/server/persistence/PersistenceManagerWithRangeScan.java,1,27,1,1,1,1,1.0,0,0,0.0,false
hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/BookkeeperBenchmark.java,1,92,3,2,34,31,11.333333333333334,1,1,0.3333333333333333,false
hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/InMemorySubscriptionState.java,1,64,1,1,1,1,1.0,0,0,0.0,true
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java,1,551,6,2,70,26,11.666666666666666,21,16,3.5,true
bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerRecoveryOp.java,1,196,5,2,28,9,5.6,18,9,3.6,true
bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerLayout.java,1,204,0,0,0,0,0.0,0,0,0.0,false
hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryCallback.java,1,27,0,0,0,0,0.0,0,0,0.0,false
hedwig-server/src/main/java/org/apache/hedwig/server/persistence/RangeScanRequest.java,1,77,1,1,2,2,2.0,0,0,0.0,false
hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java,1,6367,1,1,5855,5855,5855.0,272,272,272.0,true
hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ReadAheadCache.java,1,704,2,1,38,36,19.0,1,1,0.5,true
hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/AbstractBenchmark.java,1,105,2,1,50,48,25.0,1,1,0.5,false
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java,1,471,8,2,162,104,20.25,64,40,8.0,false
bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/ClientConfiguration.java,1,216,3,2,8,6,2.6666666666666665,0,0,0.0,false
bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerDeleteOp.java,1,81,3,2,11,7,3.6666666666666665,1,1,0.3333333333333333,false
hedwig-server/src/main/java/org/apache/hedwig/server/regions/HedwigHubClient.java,1,48,1,1,2,2,2.0,0,0,0.0,false
hedwig-protocol/src/main/java/org/apache/hedwig/exceptions/PubSubException.java,1,162,1,1,1,1,1.0,0,0,0.0,true
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieException.java,1,92,2,2,29,29,14.5,11,11,5.5,false
hedwig-client/src/main/java/org/apache/hedwig/util/Callback.java,1,47,1,1,4,4,4.0,0,0,0.0,false
bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerManager.java,1,144,0,0,0,0,0.0,0,0,0.0,false
bookkeeper-server/src/main/java/org/apache/bookkeeper/client/PendingAddOp.java,1,165,3,2,17,11,5.666666666666667,27,26,9.0,true
hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/AllToAllTopologyFilter.java,1,39,0,0,0,0,0.0,0,0,0.0,false
bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerCreateOp.java,1,157,7,2,53,26,7.571428571428571,14,12,2.0,false
hedwig-client/src/main/java/org/apache/hedwig/client/netty/ConnectCallback.java,1,123,3,1,7,4,2.3333333333333335,1,1,0.3333333333333333,false
hedwig-server/src/main/java/org/apache/hedwig/server/persistence/LocalDBPersistenceManager.java,1,427,2,1,12,10,6.0,1,1,0.5,true
bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/NIOServerFactory.java,1,533,7,3,23,8,3.2857142857142856,14,7,2.0,false
hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxySubscribeHandler.java,1,83,2,1,3,2,1.5,1,1,0.5,false
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java,1,149,4,2,19,14,4.75,16,15,4.0,true
hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/MessageIdUtils.java,1,153,1,1,2,2,2.0,0,0,0.0,false
bookkeeper-server/src/main/java/org/apache/bookkeeper/util/MathUtils.java,1,38,1,1,5,5,5.0,0,0,0.0,false
hedwig-server/src/main/java/org/apache/hedwig/server/handlers/ConsumeHandler.java,1,64,1,1,1,1,1.0,0,0,0.0,false
hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyStartDeliveryHandler.java,1,130,3,1,12,8,4.0,1,1,0.3333333333333333,true
bookkeeper-server/src/main/java/org/apache/bookkeeper/client/AsyncCallback.java,1,137,4,2,132,113,33.0,15,13,3.75,false
hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/InvalidSubscriberIdException.java,1,37,0,0,0,0,0.0,0,0,0.0,false
hedwig-server/src/main/java/org/apache/hedwig/server/persistence/PersistRequest.java,1,58,1,1,1,1,1.0,0,0,0.0,false
hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/TrueFilter.java,1,32,0,0,0,0,0.0,0,0,0.0,true
hedwig-server/src/main/java/org/apache/hedwig/server/topics/TopicOwnershipChangeListener.java,1,28,0,0,0,0,0.0,0,0,0.0,false
hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/TooManyServerRedirectsException.java,1,39,1,1,1,1,1.0,0,0,0.0,false
bookkeeper-server/src/main/java/org/apache/bookkeeper/client/ReadLastConfirmedOp.java,1,103,5,2,24,10,4.8,6,3,1.2,true
hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyUnsubscribeHandler.java,1,74,0,0,0,0,0.0,0,0,0.0,false
hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ScanCallback.java,1,63,1,1,4,4,4.0,0,0,0.0,false
bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java,1,137,3,2,98,94,32.666666666666664,2,1,0.6666666666666666,false
bookkeeper-server/src/main/java/org/apache/bookkeeper/client/PendingReadOp.java,1,173,3,2,20,17,6.666666666666667,3,2,1.0,true
bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookkeeperInternalCallbacks.java,1,132,2,2,7,7,3.5,75,75,37.5,false
bookkeeper-server/src/main/java/org/apache/bookkeeper/client/MacDigestManager.java,1,67,3,2,9,7,3.0,0,0,0.0,false
bookkeeper-server/src/main/java/org/apache/bookkeeper/streaming/LedgerOutputStream.java,1,148,2,1,10,8,5.0,1,1,0.5,false
hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/InMemorySubscriptionManager.java,1,78,1,1,4,4,4.0,0,0,0.0,false
bookkeeper-server/src/main/java/org/apache/bookkeeper/streaming/LedgerInputStream.java,1,174,2,1,10,8,5.0,1,1,0.5,false
bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/ServerConfiguration.java,1,377,3,2,20,11,6.666666666666667,0,0,0.0,false
hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/PubSubResponseUtils.java,1,43,0,0,0,0,0.0,0,0,0.0,true
bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java,1,244,4,2,96,64,24.0,10,6,2.5,false
hedwig-server/src/main/java/org/apache/hedwig/server/netty/PubSubServerPipelineFactory.java,1,76,1,1,2,2,2.0,0,0,0.0,false
hedwig-server/src/main/java/org/apache/hedwig/server/common/UnexpectedError.java,2,35,0,0,0,0,0.0,0,0,0.0,false
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileSystemUpgrade.java,2,379,3,2,22,17,7.333333333333333,219,211,73.0,false
bookkeeper-server/src/main/java/org/apache/bookkeeper/tools/BookKeeperTools.java,2,92,1,1,2,2,2.0,0,0,0.0,false
bookkeeper-server/src/main/java/org/apache/bookkeeper/jmx/BKMBeanRegistry.java,2,88,1,1,1,1,1.0,4,4,4.0,true
hedwig-server/src/main/java/org/apache/hedwig/server/netty/PubSubServerMXBean.java,2,63,0,0,0,0,0.0,0,0,0.0,false
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieBean.java,2,51,1,1,2,2,2.0,1,1,1.0,false
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java,2,147,0,0,0,0,0.0,0,0,0.0,false
hedwig-client/src/main/java/org/apache/hedwig/client/data/PubSubData.java,2,148,1,1,10,10,10.0,1,1,1.0,true
hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/BookieBenchmark.java,2,105,0,0,0,0,0.0,0,0,0.0,false
hedwig-server/src/main/java/org/apache/hedwig/server/handlers/PublishHandler.java,2,77,1,1,0,0,0.0,9,9,9.0,false
bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/PerChannelBookieClient.java,2,694,10,3,102,44,10.2,107,43,10.7,false
hedwig-server/src/main/java/org/apache/hedwig/server/persistence/MapMethods.java,2,62,0,0,0,0,0.0,0,0,0.0,false
hedwig-server/src/main/java/org/apache/hedwig/zookeeper/SafeAsyncCallback.java,2,35,1,1,1,1,1.0,0,0,0.0,false
hedwig-server/src/main/java/org/apache/hedwig/server/jmx/HedwigMBeanInfo.java,2,27,0,0,0,0,0.0,0,0,0.0,false
hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkUtils.java,2,190,1,1,2,2,2.0,13,13,13.0,false
hedwig-client/src/main/java/org/apache/hedwig/client/ssl/SslContextFactory.java,2,66,0,0,0,0,0.0,0,0,0.0,false
bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerEntry.java,2,84,0,0,0,0,0.0,0,0,0.0,false
bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerOpenOp.java,2,171,1,1,3,3,3.0,2,2,2.0,false
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptorImpl.java,2,88,1,1,30,30,30.0,25,25,25.0,false
bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerMetadata.java,2,312,5,3,6,4,1.2,64,44,12.8,false
bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/FlatLedgerManager.java,2,175,2,2,30,28,15.0,24,21,12.0,false
hedwig-client/src/main/java/org/apache/hedwig/util/Either.java,2,50,0,0,0,0,0.0,0,0,0.0,false
hedwig-server/src/main/java/org/apache/hedwig/admin/console/HedwigCommands.java,2,425,1,1,3,3,3.0,1,1,1.0,false
hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyStopDeliveryHandler.java,2,74,1,1,1,1,1.0,0,0,0.0,false
hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyPublishHander.java,2,62,0,0,0,0,0.0,0,0,0.0,false
hedwig-client/src/main/java/org/apache/hedwig/client/api/MessageHandler.java,2,48,0,0,0,0,0.0,0,0,0.0,false
hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkWorker.java,2,46,0,0,0,0,0.0,0,0,0.0,false
