DATASET,TRAINING_RELEASES,%TRAINING_INSTANCES,CLASSIFIER,FEATURE_SELECTION,BALANCING,COST_SENSITIVE,PRECISION,RECALL,AUC,KAPPA,TP,FP,TN,FN,NPOFB20,COST
zookeeper,22,93.85288966725044,Naive Bayes,false,false,false,0.5,0.15625,0.6906100283101045,0.1656514633783985,20.0,20.0,554.0,108.0,0.171875,1100
zookeeper,1,49.840255591054316,IBk,false,false,false,0.0,0.0,0.4897613382363545,0.0,0.0,0.0,402.0,69.0,0.09090909090909091,690
zookeeper,2,64.93775933609959,IBk,false,false,false,0.0,0.0,0.565184302825756,0.0,0.0,0.0,438.0,69.0,0.21739130434782608,690
zookeeper,3,74.03993855606758,IBk,false,false,false,0.0,0.0,0.6622605363984674,-0.00773569701853329,0.0,2.0,433.0,72.0,0.375,722
zookeeper,4,77.22419928825623,IBk,false,false,false,0.4444444444444444,0.12121212121212122,0.6471182412358883,0.14866979655712032,8.0,10.0,500.0,58.0,0.18181818181818182,590
zookeeper,5,81.44927536231884,IBk,false,false,false,0.4444444444444444,0.047619047619047616,0.6695944638017809,0.05947441217150754,4.0,5.0,487.0,80.0,0.25,805
zookeeper,6,83.80566801619433,IBk,false,false,false,0.875,0.06666666666666667,0.6733044733044733,0.10163339382940079,7.0,1.0,494.0,98.0,0.4,981
zookeeper,7,83.72881355932203,IBk,false,false,false,0.47058823529411764,0.08602150537634409,0.6787055615578536,0.10991872484810253,8.0,9.0,618.0,85.0,0.16129032258064516,859
zookeeper,8,85.90564938846826,IBk,false,false,false,0.391304347826087,0.08333333333333333,0.6310979264053698,0.0898622112760437,9.0,14.0,604.0,99.0,0.19444444444444445,1004
zookeeper,9,80.8761186999529,IBk,false,false,false,0.3235294117647059,0.10185185185185185,0.7494619619619619,0.11745525686544486,11.0,23.0,1087.0,97.0,0.2222222222222222,993
zookeeper,10,83.84676145339652,IBk,false,false,false,0.375,0.08823529411764706,0.6988888888888889,0.1148250571119396,9.0,15.0,1110.0,93.0,0.2647058823529412,945
zookeeper,11,90.62276306370795,IBk,false,false,false,0.6,0.25,0.8159346846846847,0.28909718796250616,30.0,20.0,646.0,90.0,0.225,920
zookeeper,12,100.0,IBk,false,false,false,0.0,0.0,NaN,1.0,0.0,0.0,0.0,0.0,0.0,0
zookeeper,13,91.39679424272163,IBk,false,false,false,0.5,0.13636363636363635,0.6863613301969467,0.1535985956699825,18.0,18.0,639.0,114.0,0.20454545454545456,1158
zookeeper,14,92.05058717253839,IBk,false,false,false,0.5263157894736842,0.07092198581560284,0.686456188515214,0.0863697038611755,10.0,9.0,642.0,131.0,0.2765957446808511,1319
zookeeper,15,92.63598326359832,IBk,false,false,false,0.8571428571428571,0.12244897959183673,0.7255286610768338,0.1760533408994186,18.0,3.0,642.0,129.0,0.2857142857142857,1293
zookeeper,16,92.65960196433187,IBk,false,false,false,0.9333333333333333,0.09929078014184398,0.7276087021575844,0.15251550333379982,14.0,1.0,710.0,127.0,0.3404255319148936,1271
zookeeper,17,93.09432146294515,IBk,false,false,false,0.9230769230769231,0.12121212121212122,0.6352743117449,0.1699750230051271,24.0,2.0,661.0,174.0,0.18181818181818182,1742
zookeeper,18,93.54040063020481,IBk,false,false,false,0.625,0.046296296296296294,0.627896210163652,0.0534536403235844,10.0,6.0,639.0,206.0,0.2361111111111111,2066
zookeeper,19,93.9323467230444,IBk,false,false,false,0.8181818181818182,0.03571428571428571,0.6060937785075716,0.04506131761574305,9.0,2.0,607.0,243.0,0.2261904761904762,2432
zookeeper,20,93.99841017488076,IBk,false,false,false,0.7547169811320755,0.15873015873015872,0.6812958108829669,0.1833521621036943,40.0,13.0,641.0,212.0,0.13095238095238096,2133
zookeeper,21,93.8981153200224,IBk,false,false,false,0.42857142857142855,0.14864864864864866,0.664752697361393,0.11792491056647049,33.0,44.0,715.0,189.0,0.12162162162162163,1934
zookeeper,22,93.85288966725044,IBk,false,false,false,0.46875,0.15625,0.6922243999225707,0.15757249216300975,30.0,34.0,827.0,162.0,0.234375,1654
zookeeper,1,49.840255591054316,Random Forest,true,false,false,0.0,0.0,0.49152336145360154,0.0,0.0,0.0,536.0,92.0,0.09090909090909091,920
zookeeper,2,64.93775933609959,Random Forest,true,false,false,0.0,0.0,0.5496389219773675,0.0,0.0,0.0,584.0,92.0,0.09090909090909091,920
zookeeper,3,74.03993855606758,Random Forest,true,false,false,0.0,0.0,0.6168103448275862,-0.005830195554475389,0.0,2.0,578.0,96.0,0.13043478260869565,962
zookeeper,4,77.22419928825623,Random Forest,true,false,false,0.4444444444444444,0.09090909090909091,0.5542028743315508,0.11656441717791435,8.0,10.0,670.0,80.0,0.11764705882352941,810
zookeeper,5,81.44927536231884,Random Forest,true,false,false,0.4444444444444444,0.03571428571428571,0.6249183362369338,0.045406546990496774,4.0,5.0,651.0,108.0,0.2222222222222222,1085
zookeeper,6,83.80566801619433,Random Forest,true,false,false,0.875,0.05,0.6386580086580087,0.07713498622589539,7.0,1.0,659.0,133.0,0.20588235294117646,1331
zookeeper,7,83.72881355932203,Random Forest,true,false,false,0.4444444444444444,0.06451612903225806,0.6575715774039204,0.08263560247542785,8.0,10.0,826.0,116.0,0.2,1170
zookeeper,8,85.90564938846826,Random Forest,true,false,false,0.4074074074074074,0.0763888888888889,0.6222357065803668,0.08570414321213053,11.0,16.0,808.0,133.0,0.2571428571428571,1346
zookeeper,9,80.8761186999529,Random Forest,true,false,false,0.28888888888888886,0.09027777777777778,0.7400478603603604,0.09954554113260888,13.0,32.0,1448.0,131.0,0.3142857142857143,1342
zookeeper,10,83.84676145339652,Random Forest,true,false,false,0.3333333333333333,0.08088235294117647,0.6732769607843138,0.10099137222064382,11.0,22.0,1478.0,125.0,0.2647058823529412,1272
zookeeper,11,90.62276306370795,Random Forest,true,false,false,0.6166666666666667,0.23125,0.8042405686936936,0.27607872823618484,37.0,23.0,865.0,123.0,0.275,1253
zookeeper,12,100.0,Random Forest,true,false,false,0.0,0.0,NaN,1.0,0.0,0.0,0.0,0.0,0.0,0
zookeeper,13,91.39679424272163,Random Forest,true,false,false,0.49019607843137253,0.14204545454545456,0.6683108914487339,0.15688334269103268,25.0,26.0,850.0,151.0,0.20930232558139536,1536
zookeeper,14,92.05058717253839,Random Forest,true,false,false,0.5,0.06914893617021277,0.6728570202961075,0.0817731073780807,13.0,13.0,855.0,175.0,0.1956521739130435,1763
zookeeper,15,92.63598326359832,Random Forest,true,false,false,0.8888888888888888,0.12244897959183673,0.7088989084005696,0.17831608152811856,24.0,3.0,857.0,172.0,0.22916666666666666,1723
zookeeper,16,92.65960196433187,Random Forest,true,false,false,0.95,0.10106382978723404,0.7058028099470329,0.15582598964890204,19.0,1.0,947.0,169.0,0.21739130434782608,1691
zookeeper,17,93.09432146294515,Random Forest,true,false,false,0.90625,0.10984848484848485,0.6110611202522968,0.15387473986720843,29.0,3.0,881.0,235.0,0.16923076923076924,2353
zookeeper,18,93.54040063020481,Random Forest,true,false,false,0.6666666666666666,0.04861111111111111,0.6040132428940569,0.05851107297540211,14.0,7.0,853.0,274.0,0.19718309859154928,2747
zookeeper,19,93.9323467230444,Random Forest,true,false,false,0.7857142857142857,0.03273809523809524,0.5840004105090312,0.04038818324532618,11.0,3.0,809.0,325.0,0.1927710843373494,3253
zookeeper,20,93.99841017488076,Random Forest,true,false,false,0.7540983606557377,0.13690476190476192,0.6783734709480123,0.15993287488827682,46.0,15.0,857.0,290.0,0.24096385542168675,2915
zookeeper,21,93.8981153200224,Random Forest,true,false,false,0.43157894736842106,0.13851351351351351,0.6459095582736887,0.11207676828035881,41.0,54.0,958.0,255.0,0.1917808219178082,2604
zookeeper,22,93.85288966725044,Random Forest,true,false,false,0.47126436781609193,0.16015625,0.6841398764155052,0.16150910239160882,41.0,46.0,1102.0,215.0,0.25,2196
zookeeper,1,49.840255591054316,Naive Bayes,true,false,false,0.0,0.0,0.4908825438027255,0.0,0.0,0.0,670.0,115.0,0.17391304347826086,1150
zookeeper,2,64.93775933609959,Naive Bayes,true,false,false,0.0,0.0,0.5533174508636093,0.0,0.0,0.0,730.0,115.0,0.17391304347826086,1150
zookeeper,3,74.03993855606758,Naive Bayes,true,false,false,0.42857142857142855,0.025,0.6316149425287356,0.032091636294788756,3.0,4.0,721.0,117.0,0.125,1174
zookeeper,4,77.22419928825623,Naive Bayes,true,false,false,0.5454545454545454,0.10909090909090909,0.5700320855614973,0.14932720708893957,12.0,10.0,840.0,98.0,0.2777777777777778,990
zookeeper,5,81.44927536231884,Naive Bayes,true,false,false,0.5333333333333333,0.05714285714285714,0.6188022648083624,0.0771784232365144,8.0,7.0,813.0,132.0,0.14285714285714285,1327
zookeeper,6,83.80566801619433,Naive Bayes,true,false,false,0.8,0.06857142857142857,0.6523047619047619,0.1014884979702297,12.0,3.0,822.0,163.0,0.14285714285714285,1633
