ID,Size,prob,actual
245,31.0,1.483827050464425E-4,false
246,98.0,1.1129528593262467E-4,false
247,36.0,1.780486783179235E-4,false
248,1263.0,8.889771419481878E-4,false
249,979.0,8.889771419481878E-4,false
250,535.0,8.889771419481878E-4,false
251,277.0,8.889771419481878E-4,false
252,607.0,8.889771419481878E-4,false
253,202.0,8.889771419481878E-4,false
254,60.0,2.2254103632870947E-4,false
255,64.0,1.271905680056756E-4,false
256,374.0,8.889771419481878E-4,false
257,363.0,8.889771419481878E-4,false
258,421.0,8.889771419481878E-4,false
259,628.0,8.889771419481878E-4,true
260,103.0,2.966773665125466E-4,false
261,286.0,8.889771419481878E-4,true
262,42.0,9.89315898555732E-5,false
263,79.0,2.2254103632870947E-4,false
264,67.0,4.448840627366838E-4,false
265,354.0,8.889771419481878E-4,true
266,264.0,8.889771419481878E-4,false
267,58.0,9.89315898555732E-5,false
268,56.0,0.016534608258893347,false
269,214.0,2.966773665125466E-4,false
270,44.0,2.2254103632870947E-4,false
271,1126.0,8.889771419481878E-4,false
272,319.0,8.889771419481878E-4,false
273,41.0,1.780486783179235E-4,false
274,163.0,2.966773665125466E-4,false
275,70.0,1.780486783179235E-4,false
276,332.0,8.889771419481878E-4,false
277,129.0,4.448840627366838E-4,false
278,56.0,0.016534608258893347,false
279,107.0,8.889771419481878E-4,false
280,32.0,0.019775556442796775,false
281,83.0,2.966773665125466E-4,false
282,319.0,8.889771419481878E-4,true
283,352.0,8.889771419481878E-4,true
284,101.0,2.2254103632870947E-4,false
285,327.0,8.889771419481878E-4,false
286,54.0,1.483827050464425E-4,false
287,476.0,8.889771419481878E-4,false
288,56.0,0.016534608258893347,false
289,94.0,1.271905680056756E-4,false
290,61.0,8.889771419481878E-4,false
291,343.0,8.889771419481878E-4,false
292,72.0,9.89315898555732E-5,false
293,343.0,4.448840627366838E-4,true
294,167.0,4.448840627366838E-4,false
295,842.0,8.889771419481878E-4,false
296,867.0,8.889771419481878E-4,false
297,101.0,2.2254103632870947E-4,false
298,84.0,1.1129528593262467E-4,false
299,183.0,1.780486783179235E-4,false
300,223.0,8.889771419481878E-4,false
301,194.0,8.889771419481878E-4,false
302,165.0,4.448840627366838E-4,false
303,183.0,1.780486783179235E-4,false
304,140.0,2.966773665125466E-4,false
305,171.0,8.889771419481878E-4,false
306,257.0,8.889771419481878E-4,false
307,63.0,9.89315898555732E-5,false
308,573.0,8.889771419481878E-4,false
309,422.0,8.889771419481878E-4,false
310,50.0,9.89315898555732E-5,false
311,40.0,2.966773665125466E-4,false
312,164.0,8.889771419481878E-4,false
313,84.0,1.1129528593262467E-4,false
314,57.0,2.2254103632870947E-4,false
315,380.0,8.889771419481878E-4,false
316,71.0,4.448840627366838E-4,false
317,261.0,8.889771419481878E-4,false
318,132.0,1.483827050464425E-4,false
319,33.0,2.966773665125466E-4,false
320,77.0,9.89315898555732E-5,false
321,179.0,4.448840627366838E-4,false
322,355.0,8.889771419481878E-4,false
323,2009.0,8.889771419481878E-4,false
324,382.0,8.889771419481878E-4,false
325,100.0,4.448840627366838E-4,false
326,141.0,2.966773665125466E-4,false
327,444.0,8.889771419481878E-4,false
328,54.0,1.483827050464425E-4,false
329,184.0,8.889771419481878E-4,false
330,300.0,8.889771419481878E-4,false
331,49.0,1.271905680056756E-4,false
332,27.0,5.238042482114334E-5,false
333,200.0,8.889771419481878E-4,false
334,94.0,1.271905680056756E-4,false
335,77.0,9.89315898555732E-5,false
336,16883.0,8.889771419481878E-4,false
337,58.0,9.89315898555732E-5,false
338,863.0,8.889771419481878E-4,false
339,638.0,8.889771419481878E-4,true
340,106.0,1.483827050464425E-4,false
341,152.0,8.889771419481878E-4,false
342,72.0,9.89315898555732E-5,false
343,297.0,8.889771419481878E-4,false
344,47.0,8.904019264757982E-5,false
345,183.0,0.9912502386614132,false
346,75.0,8.889771419481878E-4,false
347,52.0,8.889771419481878E-4,false
348,104.0,2.966773665125466E-4,false
349,33.0,2.966773665125466E-4,false
350,86.0,4.448840627366838E-4,false
351,88.0,4.448840627366838E-4,false
352,62.0,8.904019264757982E-5,false
353,153.0,2.2254103632870947E-4,false
354,51.0,8.889771419481878E-4,false
355,47.0,8.904019264757982E-5,false
356,53.0,2.2254103632870947E-4,false
357,151.0,8.889771419481878E-4,false
358,37.0,7.420236287054482E-5,false
359,677.0,8.889771419481878E-4,false
360,59.0,8.889771419481878E-4,false
361,118.0,8.889771419481878E-4,false
362,104.0,2.966773665125466E-4,false
363,28.0,1.1129528593262467E-4,false
364,77.0,9.89315898555732E-5,false
365,39.0,9.89315898555732E-5,false
366,185.0,8.889771419481878E-4,false
367,51.0,1.780486783179235E-4,false
368,624.0,8.889771419481878E-4,false
369,90.0,2.2254103632870947E-4,false
370,126.0,8.889771419481878E-4,true
371,63.0,9.89315898555732E-5,false
372,374.0,8.889771419481878E-4,true
373,54.0,1.483827050464425E-4,false
374,781.0,8.889771419481878E-4,true
375,74.0,5.238042482114334E-5,false
376,64.0,1.271905680056756E-4,false
